sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,sCustomerCountry(Non Us)
Shaily,Gajjar,php.zaptech1@gmail.com,9745228050,xyz,xyz,xyz,Ahmedabad,Gujarat,394120,India
abc,xyz,abc.xyz@gmail.com,7852149621,test,test,test,Ahmedabad,Gujarat,380001,India
xyz,abc,xyz.abc@yahoo.com,5621354712,test1,test1,test1,SURAT,Gujarat,745213,India
pqr,xyz,pqr@outlook.com,7854129632,test2,test2,test2,Baroda,Gujarat,965421,India
ade,mno,xyz@yahoo.com,8542416396,test3,test3,test3,Pune,Maharastra,874521,India
t,t,t.t@gmail.com,7845128521,test,test1,test2,Delhi,Delhi,854124,India
s,s,s.s@yahoo.com,7541263410,test,t,t,Ahmedabad,Gujarat,380012,India
a,abc,a.abc@hotmail.com,3214569874,a,a,a,SURAT,Gujarat,741258,India
m,n,mn@gmail.com,4512748512,m,m,m,Rajkot,Gujarat,451257,India
lm,km,km@yahoo.com,1236547890,km,km,km,Rajkot,Gujarat,741257,India
op,op,op@gmail.com,7412857412,op,op,op,SURAT,Gujarat,741289,India
jk,lm,jk@yahoo.com,8512369711,jk,jk,jk,Pune,Maharastra,963214,India
gh,ij,g123@gmail.com,6325412578,gi,gi,gi,Rajkot,Gujarat,741963,India
hetal,patel,test@yahoo.com,9856321474,pq,pq,pq,Baroda,Gujarat,325416,India
janak,patel,janak@gmail.com,9632584171,r,r,r,Gandhinagar,Gujarat,741258,India
dimple ,shah,dshah@yahoo.com,9856321474,tr,tr,tr,Gandhinagar,Gujarat,524136,India
Aakash,Gajjar,aa_kash@gmail.com,8512637456,xyz,abc,abc,Ahmedabad,Gujarat,380009,India
Twinkle,patel,ty@gmail.com,8521364157,test,test,test,SURAT,Gujarat,741285,India
test,test1,test@gmail.com,9658214731,ty,ty,ty,Baroda,Gujarat,365214,India
test1,test1,t.test@yahoo.com,7412563242,abc,abca1,abca2,Pune,Maharastra,741251,India
test2,test2,t.test2@yahoo.com,9684741325,abc1,abca2,abca3,Baroda,Gujarat,781245,India
test3,test3,t.test3@yahoo.com,9652143981,abc2,abca3,abca4,Newyork,Newyork,854124,US
test4,test4,t.test4@yahoo.com,9645218732,abc3,abca4,abca5,Mumbai,Maharastra,321452,India
test5,test5,t.test5@yahoo.com,9724103296,abc4,abca5,abca6,Newyork,Newyork,125412,US
test6,test6,t.test6@yahoo.com,5241369871,abc5,abca6,abca7,Delhi,Delhi,785412,India
test7,test7,t.test7@yahoo.com,6352789541,abc6,abca7,abca8,Gandhinagar,Gujarat,965413,India
test8,test8,t.test8@yahoo.com,5014523697,abc7,abca8,abca9,Mumbai,Maharastra,254135,India
test9,test9,t.test9@yahoo.com,8852136954,abc8,abca9,abca10,Newyork,Newyork,124563,US
test10,test10,t.test10@yahoo.com,8000214562,abc9,abca10,abca11,Newyork,Newyork,874156,US
test11,test11,t.test11@yahoo.com,9675412354,abc10,abca11,abca12,Delhi,Delhi,562413,India
test12,test12,t.test12@yahoo.com,8000542671,abc11,abca12,abca13,Delhi,Delhi,985412,India
test13,test13,t.test13@yahoo.com,6982800001,abc12,abca13,abca14,Rajkot,Gujarat,741258,India
test14,test14,t.test14@yahoo.com,6931471571,abc13,abca14,abca15,Pune,Maharastra,965234,India
test15,test15,t.test15@yahoo.com,9000154726,abc14,abca15,abca16,SURAT,Gujarat,125789,India
test16,test16,t.test16@yahoo.com,7421256321,abc15,abca16,abca17,SURAT,Gujarat,365241,India
test17,test17,t.test17@yahoo.com,7854296321,abc16,abca17,abca18,SURAT,Gujarat,895741,India
test18,test18,t.test18@yahoo.com,7854296322,abc17,abca18,abca19,SURAT,Gujarat,895742,India
test19,test19,t.test19@yahoo.com,7854296323,abc18,abca19,abca20,SURAT,Gujarat,895743,India
test20,test20,t.test20@yahoo.com,7854296324,abc19,abca20,abca21,SURAT,Gujarat,895744,India
test21,test21,t.test21@yahoo.com,7854296325,abc20,abca21,abca22,SURAT,Gujarat,895745,India
test22,test22,t.test22@yahoo.com,7854296326,abc21,abca22,abca23,SURAT,Gujarat,895746,India
test23,test23,t.test23@yahoo.com,7854296327,abc22,abca23,abca24,SURAT,Gujarat,895747,India
test24,test24,t.test24@yahoo.com,7854296328,abc23,abca24,abca25,SURAT,Gujarat,895748,India
test25,test25,t.test25@yahoo.com,7854296329,abc24,abca25,abca26,SURAT,Gujarat,895749,India
test26,test26,t.test26@yahoo.com,7854296330,abc25,abca26,abca27,SURAT,Gujarat,895750,India
test27,test27,t.test27@yahoo.com,7854296331,abc26,abca27,abca28,SURAT,Gujarat,895751,India
test28,test28,t.test28@yahoo.com,7854296332,abc27,abca28,abca29,SURAT,Gujarat,895752,India
test29,test29,t.test29@yahoo.com,7854296333,abc28,abca29,abca30,SURAT,Gujarat,895753,India
test30,test30,t.test30@yahoo.com,7854296334,abc29,abca30,abca31,SURAT,Gujarat,895754,India
test31,test31,t.test31@yahoo.com,7854296335,abc30,abca31,abca32,SURAT,Gujarat,895755,India
test32,test32,t.test32@yahoo.com,7854296336,abc31,abca32,abca33,SURAT,Gujarat,895756,India
test33,test33,t.test33@yahoo.com,7854296337,abc32,abca33,abca34,SURAT,Gujarat,895757,India
test34,test34,t.test34@yahoo.com,7854296338,abc33,abca34,abca35,SURAT,Gujarat,895758,India
test35,test35,t.test35@yahoo.com,7854296339,abc34,abca35,abca36,SURAT,Gujarat,895759,India
test36,test36,t.test36@yahoo.com,7854296340,abc35,abca36,abca37,SURAT,Gujarat,895760,India
test37,test37,t.test37@yahoo.com,7854296341,abc36,abca37,abca38,SURAT,Gujarat,895761,India
test38,test38,t.test38@yahoo.com,7854296342,abc37,abca38,abca39,SURAT,Maharastra,895762,India
test39,test39,t.test39@yahoo.com,7854296343,abc38,abca39,abca40,SURAT,Maharastra,895763,India
test40,test40,t.test40@yahoo.com,7854296344,abc39,abca40,abca41,SURAT,Maharastra,895764,India
test41,test41,t.test41@yahoo.com,7854296345,abc40,abca41,abca42,SURAT,Maharastra,895765,India
test42,test42,t.test42@yahoo.com,7854296346,abc41,abca42,abca43,SURAT,Maharastra,895766,India
