Customer_name,Customer_Email,Customer_Phone,Customer_Address,Customer_City,Customer_State,Customer_Zip
Text,php.zaptech@gmail.com,9745228050,xyz,Ahmedabad,Gujarat,394120
abc,php.zaptech1@gmail.com,7852149621,test,Ahmedabad,Gujarat,380001
xyz,xyz.abc@yahoo.com,5621354712,test1,SURAT,Gujarat,745213
pqr,pqr@outlook.com,7854129632,test2,Baroda,Gujarat,965421
ade,xyz@yahoo.com,8542416396,test3,Pune,Maharastra,874521
t,t.t@gmail.com,7845128521,test4,Delhi,Delhi,854124
s,s.s@yahoo.com,7541263410,test5,Ahmedabad,Gujarat,380012
a,a.abc@hotmail.com,3214569874,test6,SURAT,Gujarat,741258
m,mn@gmail.com,4512748512,test7,Rajkot,Gujarat,451257
lm,km@yahoo.com,1236547890,test8,Rajkot,Gujarat,741257
op,op@gmail.com,7412857412,test9,SURAT,Gujarat,741289
jk,jk@yahoo.com,8512369711,test10,Pune,Maharastra,963214
gh,g123@gmail.com,6325412578,test11,Rajkot,Gujarat,741963
hetal,test@yahoo.com,9856321474,test12,Baroda,Gujarat,325416
janak,janak@gmail.com,9632584171,test13,Gandhinagar,Gujarat,741258
dimple ,dshah@yahoo.com,9856321474,test14,Gandhinagar,Gujarat,524136
Aakash,aa_kash@gmail.com,8512637456,test15,Ahmedabad,Gujarat,380009
Twinkle,ty@gmail.com,8521364157,test16,SURAT,Gujarat,741285
test,test@gmail.com,9658214731,test17,Baroda,Gujarat,365214
test1,t.test@yahoo.com,7412563242,test18,Pune,Maharastra,741251
test2,t.test2@yahoo.com,9684741325,abc1,Baroda,Gujarat,781245
test3,t.test3@yahoo.com,9652143981,abc2,Newyork,Newyork,854124
test4,t.test4@yahoo.com,9645218732,abc3,Mumbai,Maharastra,321452
test5,t.test5@yahoo.com,9724103296,abc4,Newyork,Newyork,125412
test6,t.test6@yahoo.com,5241369871,abc5,Delhi,Delhi,785412
test7,t.test7@yahoo.com,6352789541,abc6,Gandhinagar,Gujarat,965413
test8,t.test8@yahoo.com,5014523697,abc7,Mumbai,Maharastra,254135
test9,t.test9@yahoo.com,8852136954,abc8,Newyork,Newyork,124563
test10,t.test10@yahoo.com,8000214562,abc9,Newyork,Newyork,874156
test11,t.test11@yahoo.com,9675412354,abc10,Delhi,Delhi,562413
test12,t.test12@yahoo.com,8000542671,abc11,Delhi,Delhi,985412
test13,t.test13@yahoo.com,6982800001,abc12,Rajkot,Gujarat,741258
test14,t.test14@yahoo.com,6931471571,abc13,Pune,Maharastra,965234
test15,t.test15@yahoo.com,9000154726,abc14,SURAT,Gujarat,125789
test16,t.test16@yahoo.com,7421256321,abc15,SURAT,Gujarat,365241
test17,t.test17@yahoo.com,7854296321,abc16,SURAT,Gujarat,895741
test18,t.test18@yahoo.com,7854296322,abc17,SURAT,Gujarat,895742
test19,t.test19@yahoo.com,7854296323,abc18,SURAT,Gujarat,895743
