Customer_name,Customer_Email,Customer_Phone,Customer_Address1,Customer_Address2,Customer_City,Customer_State,Customer_Zip,Customer_Country
Shaily,php.zaptech1@gmail.com,9745228050,xyz,xyz,Ahmedabad,Gujarat,394120,India
abc,abc.xyz@gmail.com,7852149621,test,test,Ahmedabad,Gujarat,380001,India
xyz,xyz.abc@yahoo.com,5621354712,test1,test1,SURAT,Gujarat,745213,India
pqr,pqr@outlook.com,7854129632,test2,test2,Baroda,Gujarat,965421,India
ade,xyz@yahoo.com,8542416396,test3,test3,Pune,Maharastra,874521,India
t,t.t@gmail.com,7845128521,test4,test4,Delhi,Delhi,854124,India
s,s.s@yahoo.com,7541263410,test5,test5,Ahmedabad,Gujarat,380012,India
a,a.abc@hotmail.com,3214569874,test6,test6,SURAT,Gujarat,741258,India
m,mn@gmail.com,4512748512,test7,test7,Rajkot,Gujarat,451257,India
lm,km@yahoo.com,1236547890,test8,test8,Rajkot,Gujarat,741257,India
op,op@gmail.com,7412857412,test9,test9,SURAT,Gujarat,741289,India
jk,jk@yahoo.com,8512369711,test10,test10,Pune,Maharastra,963214,India
gh,g123@gmail.com,6325412578,test11,test11,Rajkot,Gujarat,741963,India
hetal,test@yahoo.com,9856321474,test12,test12,Baroda,Gujarat,325416,India
janak,janak@gmail.com,9632584171,test13,test13,Gandhinagar,Gujarat,741258,India
dimple ,dshah@yahoo.com,9856321474,test14,test14,Gandhinagar,Gujarat,524136,India
Aakash,aa_kash@gmail.com,8512637456,test15,test15,Ahmedabad,Gujarat,380009,India
Twinkle,ty@gmail.com,8521364157,test16,test16,SURAT,Gujarat,741285,India
test,test@gmail.com,9658214731,test17,test17,Baroda,Gujarat,365214,India
test1,t.test@yahoo.com,7412563242,test18,test18,Pune,Maharastra,741251,India
test2,t.test2@yahoo.com,9684741325,abc1,test19,Baroda,Gujarat,781245,India
test3,t.test3@yahoo.com,9652143981,abc2,test20,Newyork,Newyork,854124,US
test4,t.test4@yahoo.com,9645218732,abc3,test21,Mumbai,Maharastra,321452,India
test5,t.test5@yahoo.com,9724103296,abc4,test22,Newyork,Newyork,125412,US
test6,t.test6@yahoo.com,5241369871,abc5,test23,Delhi,Delhi,785412,India
test7,t.test7@yahoo.com,6352789541,abc6,test24,Gandhinagar,Gujarat,965413,India
test8,t.test8@yahoo.com,5014523697,abc7,test25,Mumbai,Maharastra,254135,India
test9,t.test9@yahoo.com,8852136954,abc8,test26,Newyork,Newyork,124563,US
test10,t.test10@yahoo.com,8000214562,abc9,test27,Newyork,Newyork,874156,US
test11,t.test11@yahoo.com,9675412354,abc10,test28,Delhi,Delhi,562413,India
test12,t.test12@yahoo.com,8000542671,abc11,test29,Delhi,Delhi,985412,India
test13,t.test13@yahoo.com,6982800001,abc12,test30,Rajkot,Gujarat,741258,India
test14,t.test14@yahoo.com,6931471571,abc13,test31,Pune,Maharastra,965234,India
test15,t.test15@yahoo.com,9000154726,abc14,test32,SURAT,Gujarat,125789,India
test16,t.test16@yahoo.com,7421256321,abc15,test33,SURAT,Gujarat,365241,India
test17,t.test17@yahoo.com,7854296321,abc16,test34,SURAT,Gujarat,895741,India
test18,t.test18@yahoo.com,7854296322,abc17,test35,SURAT,Gujarat,895742,India
test19,t.test19@yahoo.com,7854296323,abc18,test36,SURAT,Gujarat,895743,India
test20,t.test20@yahoo.com,7854296324,abc19,test37,SURAT,Gujarat,895744,India
test21,t.test21@yahoo.com,7854296325,abc20,test38,SURAT,Gujarat,895745,India
test22,t.test22@yahoo.com,7854296326,abc21,test39,SURAT,Gujarat,895746,India
test23,t.test23@yahoo.com,7854296327,abc22,test40,SURAT,Gujarat,895747,India
test24,t.test24@yahoo.com,7854296328,abc23,test41,SURAT,Gujarat,895748,India
test25,t.test25@yahoo.com,7854296329,abc24,test42,SURAT,Gujarat,895749,India
test26,t.test26@yahoo.com,7854296330,abc25,test43,SURAT,Gujarat,895750,India
test27,t.test27@yahoo.com,7854296331,abc26,test44,SURAT,Gujarat,895751,India
test28,t.test28@yahoo.com,7854296332,abc27,test45,SURAT,Gujarat,895752,India
test29,t.test29@yahoo.com,7854296333,abc28,test46,SURAT,Gujarat,895753,India
test30,t.test30@yahoo.com,7854296334,abc29,test47,SURAT,Gujarat,895754,India
test31,t.test31@yahoo.com,7854296335,abc30,test48,SURAT,Gujarat,895755,India
test32,t.test32@yahoo.com,7854296336,abc31,test49,SURAT,Gujarat,895756,India
test33,t.test33@yahoo.com,7854296337,abc32,test50,SURAT,Gujarat,895757,India
test34,t.test34@yahoo.com,7854296338,abc33,test51,SURAT,Gujarat,895758,India
test35,t.test35@yahoo.com,7854296339,abc34,test52,SURAT,Gujarat,895759,India
test36,t.test36@yahoo.com,7854296340,abc35,test53,SURAT,Gujarat,895760,India
test37,t.test37@yahoo.com,7854296341,abc36,test54,SURAT,Gujarat,895761,India
test38,t.test38@yahoo.com,7854296342,abc37,test55,SURAT,Maharastra,895762,India
test39,t.test39@yahoo.com,7854296343,abc38,test56,SURAT,Maharastra,895763,India
test40,t.test40@yahoo.com,7854296344,abc39,test57,SURAT,Maharastra,895764,India
test41,t.test41@yahoo.com,7854296345,abc40,test58,SURAT,Maharastra,895765,India
test42,t.test42@yahoo.com,7854296346,abc41,test59,SURAT,Maharastra,895766,India
test43,t.test43@yahoo.com,7854296347,abc42,test60,SURAT,Maharastra,895767,India
test44,t.test44@yahoo.com,7854296348,abc43,test61,SURAT,Maharastra,895768,India
test45,t.test45@yahoo.com,7854296349,abc44,test62,SURAT,Maharastra,895769,India
test46,t.test46@yahoo.com,7854296350,abc45,test63,SURAT,Maharastra,895770,India
test47,t.test47@yahoo.com,7854296351,abc46,test64,SURAT,Maharastra,895771,India
test48,t.test48@yahoo.com,7854296352,abc47,test65,SURAT,Maharastra,895772,India
test49,t.test49@yahoo.com,7854296353,abc48,test66,SURAT,Maharastra,895773,India
test50,t.test50@yahoo.com,7854296354,abc49,test67,SURAT,Maharastra,895774,India
test51,t.test51@yahoo.com,7854296355,abc50,test68,SURAT,Maharastra,895775,India
test52,t.test52@yahoo.com,7854296356,abc51,test69,SURAT,Maharastra,895776,India
test53,t.test53@yahoo.com,7854296357,abc52,test70,SURAT,Maharastra,895777,India
test54,t.test54@yahoo.com,7854296358,abc53,test71,SURAT,Maharastra,895778,India
test55,t.test55@yahoo.com,7854296359,abc54,test72,SURAT,Maharastra,895779,India
test56,t.test56@yahoo.com,7854296360,abc55,test73,SURAT,Maharastra,895780,India
test57,t.test57@yahoo.com,7854296361,abc56,test74,SURAT,Maharastra,895781,India
test58,t.test58@yahoo.com,7854296362,abc57,test75,SURAT,Maharastra,895782,India
test59,t.test59@yahoo.com,7854296363,abc58,test76,SURAT,Maharastra,895783,India
test60,t.test60@yahoo.com,7854296364,abc59,test77,SURAT,Newyork,895784,India
test61,t.test61@yahoo.com,7854296365,abc60,test78,SURAT,Newyork,895785,India
test62,t.test62@yahoo.com,7854296366,abc61,test79,SURAT,Newyork,895786,India
test63,t.test63@yahoo.com,7854296367,abc62,test80,SURAT,Newyork,895787,India
test64,t.test64@yahoo.com,7854296368,abc63,test81,SURAT,Newyork,895788,India
test65,t.test65@yahoo.com,7854296369,abc64,test82,SURAT,Newyork,895789,India
test66,t.test66@yahoo.com,7854296370,abc65,test83,SURAT,Newyork,895790,India
test67,t.test67@yahoo.com,7854296371,abc66,test84,SURAT,Newyork,895791,India
test68,t.test68@yahoo.com,7854296372,abc67,test85,SURAT,Newyork,895792,India
test69,t.test69@yahoo.com,7854296373,abc68,test86,SURAT,Newyork,895793,India
test70,t.test70@yahoo.com,7854296374,abc69,test87,SURAT,Newyork,895794,India
test71,t.test71@yahoo.com,7854296375,abc70,test88,SURAT,Newyork,895795,India
test72,t.test72@yahoo.com,7854296376,abc71,test89,SURAT,Newyork,895796,India
test73,t.test73@yahoo.com,7854296377,abc72,test90,SURAT,Newyork,895797,India
test74,t.test74@yahoo.com,7854296378,abc73,test91,SURAT,Newyork,895798,India
test75,t.test75@yahoo.com,7854296379,abc74,test92,SURAT,Newyork,895799,India
test76,t.test76@yahoo.com,7854296380,abc75,test93,SURAT,Newyork,895800,India
test77,t.test77@yahoo.com,7854296381,abc76,test94,SURAT,Newyork,895801,India
test78,t.test78@yahoo.com,7854296382,abc77,test95,SURAT,Newyork,895802,India
test79,t.test79@yahoo.com,7854296383,abc78,test96,SURAT,Newyork,895803,India
test80,t.test80@yahoo.com,7854296384,abc79,test97,SURAT,Newyork,895804,India
test81,t.test81@yahoo.com,7854296385,abc80,test98,SURAT,Newyork,895805,India
test82,t.test82@yahoo.com,7854296386,abc81,test99,SURAT,Newyork,895806,India
test83,t.test83@yahoo.com,7854296387,abc82,test100,SURAT,Newyork,895807,India
test84,t.test84@yahoo.com,7854296388,abc83,test101,SURAT,Newyork,895808,India
test85,t.test85@yahoo.com,7854296389,abc84,test102,SURAT,Newyork,895809,India
test86,t.test86@yahoo.com,7854296390,abc85,test103,SURAT,Newyork,895810,India
test87,t.test87@yahoo.com,7854296391,abc86,test104,SURAT,Newyork,895811,India
test88,t.test88@yahoo.com,7854296392,abc87,test105,SURAT,Newyork,895812,India
test89,t.test89@yahoo.com,7854296393,abc88,test106,SURAT,Newyork,895813,India
test90,t.test90@yahoo.com,7854296394,abc89,test107,SURAT,Newyork,895814,India
test91,t.test91@yahoo.com,7854296395,abc90,test108,SURAT,Newyork,895815,India
test92,t.test92@yahoo.com,7854296396,abc91,test109,SURAT,Newyork,895816,India
test93,t.test93@yahoo.com,7854296397,abc92,test110,SURAT,Newyork,895817,India
test94,t.test94@yahoo.com,7854296398,abc93,test111,SURAT,Newyork,895818,India
test95,t.test95@yahoo.com,7854296399,abc94,test112,SURAT,Newyork,895819,India
test96,t.test96@yahoo.com,7854296400,abc95,test113,SURAT,Newyork,895820,India
test97,t.test97@yahoo.com,7854296401,abc96,test114,SURAT,Newyork,895821,India
test98,t.test98@yahoo.com,7854296402,abc97,test115,SURAT,Newyork,895822,India
test99,t.test99@yahoo.com,7854296403,abc98,test116,SURAT,Newyork,895823,India
test100,t.test100@yahoo.com,7854296404,abc99,test117,SURAT,Newyork,895824,India
test101,t.test101@yahoo.com,7854296405,abc100,test118,SURAT,Newyork,895825,India
test102,t.test102@yahoo.com,7854296406,abc101,test119,SURAT,Newyork,895826,India
test103,t.test103@yahoo.com,7854296407,abc102,test120,SURAT,Gujarat,895827,India
test104,t.test104@yahoo.com,7854296408,abc103,test121,SURAT,Gujarat,895828,India
test105,t.test105@yahoo.com,7854296409,abc104,test122,SURAT,Gujarat,895829,India
test106,t.test106@yahoo.com,7854296410,abc105,test123,SURAT,Gujarat,895830,India
test107,t.test107@yahoo.com,7854296411,abc106,test124,SURAT,Gujarat,895831,India
test108,t.test108@yahoo.com,7854296412,abc107,test125,SURAT,Gujarat,895832,India
test109,t.test109@yahoo.com,7854296413,abc108,test126,SURAT,Gujarat,895833,India
test110,t.test110@yahoo.com,7854296414,abc109,test127,SURAT,Gujarat,895834,India
test111,t.test111@yahoo.com,7854296415,abc110,test128,SURAT,Gujarat,895835,India
test112,t.test112@yahoo.com,7854296416,abc111,test129,SURAT,Gujarat,895836,India
test113,t.test113@yahoo.com,7854296417,abc112,test130,SURAT,Gujarat,895837,India
test114,t.test114@yahoo.com,7854296418,abc113,test131,SURAT,Gujarat,895838,India
test115,t.test115@yahoo.com,7854296419,abc114,test132,SURAT,Gujarat,895839,India
test116,t.test116@yahoo.com,7854296420,abc115,test133,SURAT,Gujarat,895840,India
test117,t.test117@yahoo.com,7854296421,abc116,test134,SURAT,Gujarat,895841,India
test118,t.test118@yahoo.com,7854296422,abc117,test135,SURAT,Gujarat,895842,India
test119,t.test119@yahoo.com,7854296423,abc118,test136,SURAT,Gujarat,895843,India
test120,t.test120@yahoo.com,7854296424,abc119,test137,SURAT,Gujarat,895844,India
test121,t.test121@yahoo.com,7854296425,abc120,test138,SURAT,Gujarat,895845,India
test122,t.test122@yahoo.com,7854296426,abc121,test139,SURAT,Gujarat,895846,India
test123,t.test123@yahoo.com,7854296427,abc122,test140,SURAT,Gujarat,895847,India
test124,t.test124@yahoo.com,7854296428,abc123,test141,SURAT,Gujarat,895848,India
test125,t.test125@yahoo.com,7854296429,abc124,test142,SURAT,Gujarat,895849,India
test126,t.test126@yahoo.com,7854296430,abc125,test143,SURAT,Gujarat,895850,India
test127,t.test127@yahoo.com,7854296431,abc126,test144,SURAT,Gujarat,895851,India
test128,t.test128@yahoo.com,7854296432,abc127,test145,SURAT,Gujarat,895852,India
test129,t.test129@yahoo.com,7854296433,abc128,test146,SURAT,Gujarat,895853,India
test130,t.test130@yahoo.com,7854296434,abc129,test147,SURAT,Gujarat,895854,India
test131,t.test131@yahoo.com,7854296435,abc130,test148,SURAT,Gujarat,895855,India
test132,t.test132@yahoo.com,7854296436,abc131,test149,SURAT,Gujarat,895856,India
test133,t.test133@yahoo.com,7854296437,abc132,test150,SURAT,Gujarat,895857,India
test134,t.test134@yahoo.com,7854296438,abc133,test151,SURAT,Gujarat,895858,India
test135,t.test135@yahoo.com,7854296439,abc134,test152,SURAT,Gujarat,895859,India
test136,t.test136@yahoo.com,7854296440,abc135,test153,SURAT,Gujarat,895860,India
test137,t.test137@yahoo.com,7854296441,abc136,test154,SURAT,Gujarat,895861,India
test138,t.test138@yahoo.com,7854296442,abc137,test155,SURAT,Gujarat,895862,India
test139,t.test139@yahoo.com,7854296443,abc138,test156,SURAT,Gujarat,895863,India
test140,t.test140@yahoo.com,7854296444,abc139,test157,SURAT,Gujarat,895864,India
test141,t.test141@yahoo.com,7854296445,abc140,test158,SURAT,Gujarat,895865,India
test142,t.test142@yahoo.com,7854296446,abc141,test159,SURAT,Gujarat,895866,India
test143,t.test143@yahoo.com,7854296447,abc142,test160,SURAT,Gujarat,895867,India
test144,t.test144@yahoo.com,7854296448,abc143,test161,SURAT,Gujarat,895868,India
test145,t.test145@yahoo.com,7854296449,abc144,test162,SURAT,Gujarat,895869,India
test146,t.test146@yahoo.com,7854296450,abc145,test163,SURAT,Gujarat,895870,India
test147,t.test147@yahoo.com,7854296451,abc146,test164,SURAT,Gujarat,895871,India
test148,t.test148@yahoo.com,7854296452,abc147,test165,SURAT,Gujarat,895872,India
test149,t.test149@yahoo.com,7854296453,abc148,test166,SURAT,Gujarat,895873,India
test150,t.test150@yahoo.com,7854296454,abc149,test167,SURAT,Gujarat,895874,India
test151,t.test151@yahoo.com,7854296455,abc150,test168,SURAT,Gujarat,895875,India
test152,t.test152@yahoo.com,7854296456,abc151,test169,SURAT,Gujarat,895876,India
test153,t.test153@yahoo.com,7854296457,abc152,test170,SURAT,Gujarat,895877,India
test154,t.test154@yahoo.com,7854296458,abc153,test171,SURAT,Gujarat,895878,India
test155,t.test155@yahoo.com,7854296459,abc154,test172,SURAT,Gujarat,895879,India
test156,t.test156@yahoo.com,7854296460,abc155,test173,SURAT,Gujarat,895880,India
test157,t.test157@yahoo.com,7854296461,abc156,test174,SURAT,Gujarat,895881,India
test158,t.test158@yahoo.com,7854296462,abc157,test175,SURAT,Gujarat,895882,India
test159,t.test159@yahoo.com,7854296463,abc158,test176,SURAT,Gujarat,895883,India
test160,t.test160@yahoo.com,7854296464,abc159,test177,SURAT,Gujarat,895884,India
test161,t.test161@yahoo.com,7854296465,abc160,test178,SURAT,Gujarat,895885,India
test162,t.test162@yahoo.com,7854296466,abc161,test179,SURAT,Gujarat,895886,India
test163,t.test163@yahoo.com,7854296467,abc162,test180,SURAT,Gujarat,895887,India
test164,t.test164@yahoo.com,7854296468,abc163,test181,SURAT,Gujarat,895888,India
test165,t.test165@yahoo.com,7854296469,abc164,test182,SURAT,Gujarat,895889,India
test166,t.test166@yahoo.com,7854296470,abc165,test183,SURAT,Gujarat,895890,India
test167,t.test167@yahoo.com,7854296471,abc166,test184,SURAT,Gujarat,895891,India
test168,t.test168@yahoo.com,7854296472,abc167,test185,SURAT,Gujarat,895892,India
test169,t.test169@yahoo.com,7854296473,abc168,test186,SURAT,Gujarat,895893,India
test170,t.test170@yahoo.com,7854296474,abc169,test187,SURAT,Gujarat,895894,India
test171,t.test171@yahoo.com,7854296475,abc170,test188,SURAT,Gujarat,895895,India
test172,t.test172@yahoo.com,7854296476,abc171,test189,SURAT,Gujarat,895896,India
test173,t.test173@yahoo.com,7854296477,abc172,test190,SURAT,Gujarat,895897,India
test174,t.test174@yahoo.com,7854296478,abc173,test191,SURAT,Gujarat,895898,India
test175,t.test175@yahoo.com,7854296479,abc174,test192,SURAT,Gujarat,895899,India
test176,t.test176@yahoo.com,7854296480,abc175,test193,SURAT,Gujarat,895900,India
test177,t.test177@yahoo.com,7854296481,abc176,test194,SURAT,Gujarat,895901,India
test178,t.test178@yahoo.com,7854296482,abc177,test195,SURAT,Gujarat,895902,India
test179,t.test179@yahoo.com,7854296483,abc178,test196,SURAT,Gujarat,895903,India
test180,t.test180@yahoo.com,7854296484,abc179,test197,SURAT,Gujarat,895904,India
test181,t.test181@yahoo.com,7854296485,abc180,test198,SURAT,Gujarat,895905,India
test182,t.test182@yahoo.com,7854296486,abc181,test199,SURAT,Gujarat,895906,India
test183,t.test183@yahoo.com,7854296487,abc182,test200,SURAT,Gujarat,895907,India
test184,t.test184@yahoo.com,7854296488,abc183,test201,SURAT,Gujarat,895908,India
test185,t.test185@yahoo.com,7854296489,abc184,test202,SURAT,Gujarat,895909,India
test186,t.test186@yahoo.com,7854296490,abc185,test203,SURAT,Gujarat,895910,India
test187,t.test187@yahoo.com,7854296491,abc186,test204,SURAT,Gujarat,895911,India
test188,t.test188@yahoo.com,7854296492,abc187,test205,SURAT,Gujarat,895912,India
test189,t.test189@yahoo.com,7854296493,abc188,test206,SURAT,Gujarat,895913,India
test190,t.test190@yahoo.com,7854296494,abc189,test207,SURAT,Gujarat,895914,India
test191,t.test191@yahoo.com,7854296495,abc190,test208,SURAT,Gujarat,895915,India
test192,t.test192@yahoo.com,7854296496,abc191,test209,SURAT,Gujarat,895916,India
test193,t.test193@yahoo.com,7854296497,abc192,test210,SURAT,Gujarat,895917,India
test194,t.test194@yahoo.com,7854296498,abc193,test211,SURAT,Gujarat,895918,India
test195,t.test195@yahoo.com,7854296499,abc194,test212,SURAT,Gujarat,895919,India
test196,t.test196@yahoo.com,7854296500,abc195,test213,SURAT,Gujarat,895920,India
test197,t.test197@yahoo.com,7854296501,abc196,test214,SURAT,Gujarat,895921,India
test198,t.test198@yahoo.com,7854296502,abc197,test215,SURAT,Gujarat,895922,India
test199,t.test199@yahoo.com,7854296503,abc198,test216,SURAT,Gujarat,895923,India
test200,t.test200@yahoo.com,7854296504,abc199,test217,SURAT,Gujarat,895924,India
test201,t.test201@yahoo.com,7854296505,abc200,test218,SURAT,Gujarat,895925,India
test202,t.test202@yahoo.com,7854296506,abc201,test219,SURAT,Gujarat,895926,India
test203,t.test203@yahoo.com,7854296507,abc202,test220,SURAT,Gujarat,895927,India
test204,t.test204@yahoo.com,7854296508,abc203,test221,SURAT,Gujarat,895928,India
test205,t.test205@yahoo.com,7854296509,abc204,test222,SURAT,Gujarat,895929,India
test206,t.test206@yahoo.com,7854296510,abc205,test223,SURAT,Gujarat,895930,India
test207,t.test207@yahoo.com,7854296511,abc206,test224,SURAT,Gujarat,895931,India
test208,t.test208@yahoo.com,7854296512,abc207,test225,SURAT,Gujarat,895932,India
test209,t.test209@yahoo.com,7854296513,abc208,test226,SURAT,Gujarat,895933,India
test210,t.test210@yahoo.com,7854296514,abc209,test227,SURAT,Gujarat,895934,India
test211,t.test211@yahoo.com,7854296515,abc210,test228,SURAT,Gujarat,895935,India
test212,t.test212@yahoo.com,7854296516,abc211,test229,SURAT,Gujarat,895936,India
test213,t.test213@yahoo.com,7854296517,abc212,test230,SURAT,Gujarat,895937,India
