Firstname,Lastname,Email,Phone,Address1,Address2,Address3,City,State,Zip,Country(Non Us)
Sulack Chiropractic,,info@sulack.com,(865) 938-1070,,,,,,,
East Town Chiropractic Health & Wellness Center,,healthylivingknoxville@gmail.com,(865) 522-6300,,,,,,,
Absolute Healing Chiropractic,,absolutehealing@aol.com,(865) 670-0650,,,,,,,
Back To Wellness Chiropractic,,backtowellnesschiropractic@gmail.com,(865) 938-6560,,,,,,,
West Knox Chiropractic Group,,info@drlensgraf.com,(865) 675-2663,,,,,,,
Kelley Chiropractic Wellness Center,,chirokell@bellsouth.net,(865) 588-5734,,,,,,,
Genesis Chiropractic,,drc@godrc.com,(865) 454-0313,,,,,,,
Bridges Chiropractic,,Bchiropractic@knology.net,(865) 357-2225,,,,,,,
Halls Chiropractic Clinic,,hallschiro@yahoo.com,(865) 922-9081,,,,,,,
Halls Chiropractic Clinic: Ables Lynn DC,,hallschiro@yahoo.com,(865) 922-9081,,,,,,,
Wilkerson Chiropractic,,drbrad@wilkersonchiropractic.com,(865) 691-6234,,,,,,,
East Town Chiro Wellness Center:Dr. Judy P. Roy DC,,healthylivingknoxville@gmail.com,(865) 522-6300,,,,,,,
Warwick Chiropractic Center,,info@Activator.com,(865) 693-1911,,,,,,,
McKinnon Chiropractic,,drmureh@tds.net,(865) 922-1476,,,,,,,
Scoles Family Chiropractic - Knoxville,,info@scoleschiro.com,(865) 531-8025,,,,,,,
Marble City Chiropractic,,marblecitychiropractic@gmail.com,(865) 766-2081,,,,,,,
Kelley Chiropractic Office: Setzer Sandra DC,,chirokell@bellsouth.net,(865) 588-5734,,,,,,,
Knoxville Chiropractic Clinic: Gwinn Jr Woodrow W DC,,knoxvillechiropractic@gmail.com,(865) 687-9797,,,,,,,
Chiropractic Health & Fitness - Dr. Donovan Stewart,,Stewartchiro4u@gmail.com,(865) 687-5700,,,,,,,
Marsh Chiropractic & Wellness,,info@marshchiro.com,(865) 681-2222,,,,,,,
Maryville Chiropractic Clinic,,aryvillechiropractic@gmail.com,(865) 977-0916,,,,,,,
Upper Cervical Health Centers Of America,,info@uchcenters.com,(865) 249-7276,,,,,,,
Blue Family Chiropractic,,drwendyblue@yahoo.com,(865) 806-2101,,,,,,,
East Tennesee Clinic of Chiropractic,,info@drjohnlay.com,(865) 681-2992,,,,,,,
Lenoir City Chiropractic,,info@lenoirchiro.com,(865) 988-9088,,,,,,,
Horstmann L Ann DC,,info@drannhorstmann.com,(865) 428-2736,,,,,,,
Courtley Chiropractic,,info@courtleychiropractic.com,(865) 986-8088,,,,,,,
Oak Ridge Chiropractors,,oakridgechiropractors@gmail.com,(865) 481-8989,,,,,,,
United Healthcare,,Investor_Relations@uhc.com,(865) 293-0392,,,,,,,
Chris Family Chiropractic,,info@chrisfamilychiropractic.com,(423) 266-0900,,,,,,,
A Better Choice Chiropractic,,dcib@comcast.net,(423) 499-8834,,,,,,,
Lookout Valley Chiropractic,,lookoutvalleychiro@gmail.com,(423) 825-5252,,,,,,,
Riverview Chiropractic,,riverviewchiropracticinc@yahoo.com,(423) 643-2211,,,,,,,
Pinnacle Physical Medicine and Rehab,,chirodcs@yahoo.com,(423) 855-5053,,,,,,,
Tri State Clinic North,,tristatenorth@comcast.net,(423) 265-1366,,,,,,,
Inspire Chiropractic,,info@inspirechiro.com,(423) 834-7125,,,,,,,
"Douglas Tomanelli, DC",,tomanellidc@gmail.com,(423) 877-1558,,,,,,,
"The Pollard Clinic, P.C.",,thepollardclinic@att.net,(423) 877-3322,,,,,,,
Chattanooga Integrated Chiro,,PeakFamilyHealth@gmail.com,(423) 894-1252,,,,,,,
