sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,sCustomerCountry(Non Us)
Shaily,Gajjar,shaily.gajjar@gmail.com,9724229059,xyz,xyz,xyz,Ahmedabad,Gujarat,394120,India
abc,xyz,abc.xyz@gmail.com,7852149621,test,test,test,Ahmedabad,Gujarat,380001,India
xyz,abc,xyz.abc@yahoo.com,5621354712,test1,test1,test1,SURAT,Gujarat,745213,India
pqr,xyz,pqr@outlook.com,7854129632,test2,test2,test2,Baroda,Gujarat,965421,India
ade,mno,xyz@yahoo.com,8542416396,test3,test3,test3,Pune,Maharastra,874521,India
t,t,t.t@gmail.com,7845128521,test,test1,test2,Delhi,Delhi,854124,India
s,s,s.s@yahoo.com,7541263410,test,t,t,Ahmedabad,Gujarat,380012,India
a,abc,a.abc@hotmail.com,3214569874,a,a,a,SURAT,Gujarat,741258,India
m,n,mn@gmail.com,4512748512,m,m,m,Rajkot,Gujarat,451257,India
lm,km,km@yahoo.com,1236547890,km,km,km,Rajkot,Gujarat,741257,India
op,op,op@gmail.com,7412857412,op,op,op,SURAT,Gujarat,741289,India
jk,lm,jk@yahoo.com,8512369711,jk,jk,jk,Pune,Maharastra,963214,India
gh,ij,g123@gmail.com,6325412578,gi,gi,gi,Rajkot,Gujarat,741963,India
hetal,patel,test@yahoo.com,9856321474,pq,pq,pq,Baroda,Gujarat,325416,India
janak,patel,janak@gmail.com,9632584171,r,r,r,Gandhinagar,Gujarat,741258,India
dimple ,shah,dshah@yahoo.com,9856321474,tr,tr,tr,Gandhinagar,Gujarat,524136,India
Aakash,Gajjar,aa_kash@gmail.com,8512637456,xyz,abc,abc,Ahmedabad,Gujarat,380009,India
Twinkle,patel,ty@gmail.com,8521364157,test,test,test,SURAT,Gujarat,741285,India
test,test1,test@gmail.com,9658214731,ty,ty,ty,Baroda,Gujarat,365214,India
test1,test1,t.test@yahoo.com,7412563242,abc,abca1,abca2,Pune,Maharastra,741251,India
test2,test2,t.test2@yahoo.com,9684741325,abc1,abca2,abca3,Baroda,Gujarat,781245,India
test3,test3,t.test3@yahoo.com,9652143981,abc2,abca3,abca4,Newyork,Newyork,,US
test4,test4,t.test4@yahoo.com,9645218732,abc3,abca4,abca5,Mumbai,Maharastra,,India
test5,test5,t.test5@yahoo.com,9724103296,abc4,abca5,abca6,Newyork,Newyork,,US
test6,test6,t.test6@yahoo.com,5241369871,abc5,abca6,abca7,Delhi,Delhi,,India
test7,test7,t.test7@yahoo.com,6352789541,abc6,abca7,abca8,Gandhinagar,Gujarat,,India
test8,test8,t.test8@yahoo.com,5014523697,abc7,abca8,abca9,Mumbai,Maharastra,,India
test9,test9,t.test9@yahoo.com,8852136954,abc8,abca9,abca10,Newyork,Newyork,,US
test10,test10,t.test10@yahoo.com,8000214562,abc9,abca10,abca11,Newyork,Newyork,,US
test11,test11,t.test11@yahoo.com,9675412354,abc10,abca11,abca12,Delhi,Delhi,,India
test12,test12,t.test12@yahoo.com,8000542671,abc11,abca12,abca13,Delhi,Delhi,,India
test13,test13,t.test13@yahoo.com,6982800001,abc12,abca13,abca14,Rajkot,Gujarat,,India
test14,test14,t.test14@yahoo.com,6931471571,abc13,abca14,abca15,Pune,Maharastra,,India
test15,test15,t.test15@yahoo.com,9000154726,abc14,abca15,abca16,SURAT,Gujarat,,India
