sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,"sCustomerCountry(Non Us)"
;55555555555555600000000000000;," can not be empty 
"
;5444444444444450000000000000000000;," can not be empty 
"
;;," can not be empty 
"
;;," can not be empty 
"
;safaadsadadad;," can not be empty 
"
;afafdaf;," can not be empty 
"
;;," can not be empty 
"
;;," can not be empty 
"
;;," can not be empty 
"
;4258648486zx4c6fszx4df6ds46fs6f4ds6f4ds6f;," can not be empty 
"
;;," can not be empty 
"
;;," can not be empty 
"
;;," can not be empty 
"
;;," can not be empty 
"
;fadsfaf;," can not be empty 
"
;sdsadaddadadadd6879867szd4sa6d14sa6d1s6;," can not be empty 
"
;;," can not be empty 
"
;877979ad;," can not be empty 
"
