sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,"sCustomerCountry(Non Us)"
6,"Specifying your shipping costs and locations",specifying-your-shipping-costs-and-locations,Shipping,Enabled,"Invalid Email Address"
7,"Offering free shipping",offering-free-shipping,Shipping,Enabled,"Invalid Email Address"
8,"Using flat shipping costs",using-flat-shipping-costs,Shipping,Enabled,"Invalid Email Address"
9,"Billing Agreements through Paypal",billing-agreements-through-paypal,"Billing Agreements",Enabled,"Invalid Email Address"
10,test,test,Shipping,Enabled,"Invalid Email Address"
11,"Sample  Article testing of Magento Project",sample-article-testing-of-magento-project,"Sample Test",Enabled,"Invalid Email Address"
12,"TEST 1",test-1,Shipping,Enabled,"Invalid Email Address"
13,"TEST 1",test-1,"Sample Test",Enabled,"Invalid Email Address"
14,"TEST 3",test-3,"Billing Agreements",Enabled,"Invalid Email Address"
15,"TEST 3",test-3,Shipping,Enabled,"Invalid Email Address"
16,"TEST 3",test-3,"Mobile Test",Enabled,"Invalid Email Address"
17,"TEST 3",test-3,"Sample Test",Enabled,"Invalid Email Address"
18,"TEST 3TEST 3",test-3test-3,"Mobile Test",Enabled,"Invalid Email Address"
19,"TEST 3",test-3,"Sample Test",Enabled,"Invalid Email Address"
20,"TEST 3",test-3,"Billing Agreements",Enabled,"Invalid Email Address"
21,"TEST 3",test-3,"Sample Test",Enabled,"Invalid Email Address"
22,"TEST 6",test-6,"Sample Test",Enabled,"Invalid Email Address"
23,"TEST 3TEST 3",test-3test-3,"Mobile Test",Enabled,"Invalid Email Address"
24,"TEST 3",test-3,Shipping,Enabled,"Invalid Email Address"
25,"TEST 3TEST 3",test-3test-3,"Sample Test",Enabled,"Invalid Email Address"
26,"TEST 3",test-3,"Billing Agreements",Enabled,"Invalid Email Address"
