sCustomerFirstname,sCustomerLastname,sCustomerEmail,sCustomerPhone,sCustomerAddress1,sCustomerAddress2,sCustomerAddress3,sCustomerCity,sCustomerState,sCustomerZip,"sCustomerCountry(Non Us)"
Shaily,php.zaptech1@gmail.com,9745228050,xyz,xyz,Ahmedabad,Gujarat,394120,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
abc,abc.xyz@gmail.com,7852149621,test,test,Ahmedabad,Gujarat,380001,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
xyz,xyz.abc@yahoo.com,5621354712,test1,test1,SURAT,Gujarat,745213,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
pqr,pqr@outlook.com,7854129632,test2,test2,Baroda,Gujarat,965421,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
ade,xyz@yahoo.com,8542416396,test3,test3,Pune,Maharastra,874521,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
t,t.t@gmail.com,7845128521,test,test1,Delhi,Delhi,854124,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
s,s.s@yahoo.com,7541263410,test,t,Ahmedabad,Gujarat,380012,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
a,a.abc@hotmail.com,3214569874,a,a,SURAT,Gujarat,741258,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
m,mn@gmail.com,4512748512,m,m,Rajkot,Gujarat,451257,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
lm,km@yahoo.com,1236547890,km,km,Rajkot,Gujarat,741257,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
op,op@gmail.com,7412857412,op,op,SURAT,Gujarat,741289,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
jk,jk@yahoo.com,8512369711,jk,jk,Pune,Maharastra,963214,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
gh,g123@gmail.com,6325412578,gi,gi,Rajkot,Gujarat,741963,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
hetal,test@yahoo.com,9856321474,pq,pq,Baroda,Gujarat,325416,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
janak,janak@gmail.com,9632584171,r,r,Gandhinagar,Gujarat,741258,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
"dimple ",dshah@yahoo.com,9856321474,tr,tr,Gandhinagar,Gujarat,524136,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
Aakash,aa_kash@gmail.com,8512637456,xyz,abc,Ahmedabad,Gujarat,380009,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
Twinkle,ty@gmail.com,8521364157,test,test,SURAT,Gujarat,741285,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test,test@gmail.com,9658214731,ty,ty,Baroda,Gujarat,365214,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test1,t.test@yahoo.com,7412563242,abc,abca1,Pune,Maharastra,741251,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test2,t.test2@yahoo.com,9684741325,abc1,abca2,Baroda,Gujarat,781245,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test3,t.test3@yahoo.com,9652143981,abc2,abca3,Newyork,Newyork,854124,US,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test4,t.test4@yahoo.com,9645218732,abc3,abca4,Mumbai,Maharastra,321452,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test5,t.test5@yahoo.com,9724103296,abc4,abca5,Newyork,Newyork,125412,US,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test6,t.test6@yahoo.com,5241369871,abc5,abca6,Delhi,Delhi,785412,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test7,t.test7@yahoo.com,6352789541,abc6,abca7,Gandhinagar,Gujarat,965413,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test8,t.test8@yahoo.com,5014523697,abc7,abca8,Mumbai,Maharastra,254135,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test9,t.test9@yahoo.com,8852136954,abc8,abca9,Newyork,Newyork,124563,US,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test10,t.test10@yahoo.com,8000214562,abc9,abca10,Newyork,Newyork,874156,US,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test11,t.test11@yahoo.com,9675412354,abc10,abca11,Delhi,Delhi,562413,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test12,t.test12@yahoo.com,8000542671,abc11,abca12,Delhi,Delhi,985412,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
test13,t.test13@yahoo.com,6982800001,abc12,abca13,Rajkot,Gujarat,741258,India,"The CSV file you uploaded is invalid. Please make sure you are using our template."
