Firstname,Lastname,Email,Phone,Address1,Address2,Address3,City,State,Zip,"Country(Non Us)"
"Hodges, Doughty & Carson",,sbarrett@hdclaw.com,"(865) 292-2307",,,,,,,
"Oberman and Rice Law Firm",,oberman@tndui.com,"(865) 249-7200",,,,,,,
"Sobieski Messer & Associates",,webmaster@sobieskimesser.com,"(865) 546-7770",,,,,,,
"Arnett, Draper & Hagood",,info@adhknox.com,"(865) 546-7000",,,,,,,
"Wimberly Lawson Wright Daves & Jones",,bcopeland@Wimberlylawson.com,"(865) 546-1000",,,,,,,
"Law Office of Camellia S. Saunders, LLC",,justice@camelliasaunders.com,"(865) 851-9314",,,,,,,
"Eric B. Foust, Attorney",,eric@foustlawfirm.com,"(865) 250-5182",,,,,,,
"Stone & Hinds",,info@s-hlaw.com,"(865) 546-6321",,,,,,,
"The Law Office of Randall E. Reagan",,Justice@RandallReagan.com,"(865) 637-8505",,,,,,,
"Knoxville Bar Association",,mhaynes@hdclaw.com,"(865) 522-6522",,,,,,,
"Sara Compher-Rice",,info@tndui.com,"(865) 249-7202",,,,,,,
"Brackett & Strunk Bankruptcy Lawyers",,consumerbk@comcast.net,"(865) 688-0868",,,,,,,
"The Boyd Firm, Attorneys at Law, PC",,contact@theboydfirm.org,"(865) 246-1800",,,,,,,
"Carpenter & Lewis PLLC",,contact@carpenterlewis.com,"(865) 690-4997",,,,,,,
"Bosch Law Firm",,dbosch@boschlawfirm.com,"(865) 637-2142",,,,,,,
"Rutherford Weinstein Law Group, PLLC",,info@knoxlawyers.com,"(865) 544-0550",,,,,,,
"Thomas H. Dickenson",,sbarrett@hdclaw.com,"(865) 292-2307",,,,,,,,"Duplicate email record has been discarded."
"A Philip Lomonaco Law Offices",,phillomonaco@gmail.com,"(865) 521-7422",,,,,,,
"College of Law",,jgarceau@utk.edu,"(865) 974-2521",,,,,,,
"Young Williams Law Firm, PC",,mark@ywlawfirm.com,"(865) 637-1440",,,,,,,
"Stokes Williams Sharp & Davies",,info@stokeswilliams.com,"(865) 544-3833",,,,,,,
"Currier Charles G",,clients@andersoncriminaldefence.com,"(865) 971-4492",,,,,,,
"Tasha C. Blakney",,tblakney@eblaw.us,"(865) 544-2010",,,,,,,
"Deno Cole Attorney At Law",,deno@denocole.com,"(865) 281-8400",,,,,,,
"Stephen Ross Johnson",,johnson@rddjlaw.com,"(865) 637-0661",,,,,,,
